,strategy,equal_weight,acwi_only
2014-11-24,0.0018940918932579107,0.0001984589415040261,0.002481956530836049
2014-11-25,-0.00014611424414879092,0.0011016475182994145,-0.0004952734360120781
2014-11-26,0.0032370192160583277,0.0008116380191009465,0.003963356853210032
2014-11-28,-0.008094863973872822,-0.007122839668350173,-0.00608598145150141
2014-12-01,-0.0016721448473285177,0.007902152467980206,-0.006288112651966271
2014-12-02,0.002661754254319815,-0.0029714464712834454,0.004329955136649133
2014-12-03,0.0034210626081460525,0.003081993536218325,0.0026528178635718547
2014-12-04,-0.0024704191326390015,-0.0007009985903520255,-0.0023150940394141006
2014-12-05,-0.00035638811307310266,-0.004694552234819904,0.000994337472846274
2014-12-08,-0.007165764070059299,0.0013720830862675448,-0.009272803650839045
2014-12-09,-0.0007767062844541545,0.004952660559027405,-0.0031758260145292594
2014-12-10,-0.013776004259629248,-0.003609163938506549,-0.015090443901320194
2014-12-11,0.00038383871570681907,-0.0007110094907309683,0.0006808078013353924
2014-12-12,-0.015395993467554782,-0.0034809500902479584,-0.016842312608903565
2014-12-15,-0.011496190440940144,-0.0102700787802881,-0.010901508845104657
2014-12-16,-0.0015642851654845355,0.0014356445180302158,-0.002974064442016533
2014-12-17,0.012376761701993198,0.002225011553594086,0.016954854018382814
2014-12-18,0.017456518500267224,0.006270961003732867,0.02175424256761982
2014-12-19,0.0018075903035317399,0.0002022360094769693,0.002725164902844579
2014-12-22,0.0008879433308413248,-0.0029640164981926953,0.005945673818604558
2014-12-23,6.740067724586563e-05,-0.001214216613359076,-0.0003377722695245833
2014-12-24,0.0015397889439126013,0.00083396909737804,0.001858214138323211
2014-12-26,0.006890513326175318,0.005786556073139493,0.004046312604534696
2014-12-29,-0.0029750662057668516,-0.002202733795439865,-0.002183193397456984
2014-12-30,-0.0045608690547710995,0.002090850917996351,-0.006563188428981737
2014-12-31,-0.00948695411514855,-0.005566904807481787,-0.008978564796053634
2015-01-02,-0.0017136442358901994,0.00120593188513346,-0.002393180641215631
2015-01-05,-0.0162271599487517,-0.00039469714863321625,-0.01970541653287361
2015-01-06,-0.008141684598017963,0.0011226428836777491,-0.010312867419441707
2015-01-07,0.01117374040379695,0.0019681090745256313,0.01306986868753035
2015-01-08,0.013700421841704813,0.002518900318300571,0.015690304152979007
2015-01-09,-0.004422599569888608,0.002160196598293501,-0.00617902134088244
2015-01-12,-0.004021182100753241,0.0016114705866193124,-0.0056998062520357
2015-01-13,0.0002881134351292892,-0.0003530193718752628,0.0006949891226293303
2015-01-14,-0.004378978114058974,-0.0005619079832948903,-0.004686863484592019
2015-01-15,0.00047706064087391564,0.0073684396446302425,-0.002267255094922316
2015-01-16,0.011846861237621575,0.005047657994459692,0.011711592351592692
2015-01-20,0.004539027851101584,0.004167118365891204,0.0022457723440634236
2015-01-21,0.005978132980270701,0.001186367812679473,0.007412266850481908
2015-01-22,0.010918972596631927,0.004724924901576194,0.011636319438581344
2015-01-23,-0.006468693188302654,-0.002735242012107175,-0.0060895397801282725
2015-01-26,0.0013510242787367517,-0.0009986485290826852,0.006807439254380654
2015-01-27,-0.0009520896312127138,0.0011233257623133597,-0.006930388220515726
2015-01-28,-0.011521920256747545,-0.003987218246592067,-0.013276477228089556
2015-01-29,-0.0006004310112268114,-0.0032789049363622647,0.009487549626417291
2015-01-30,-0.0018727085425455404,0.003708132687932658,-0.013499645234947288
2015-02-02,0.00659100246886568,0.0009487989816070741,0.012991481759060175
2015-02-03,0.007535242621461513,-0.00017623703434718752,0.015560750379524091
2015-02-04,-0.002811802024884935,0.00012581124383864717,-0.00589329397407079
2015-02-05,0.008106383134031891,0.0025971124499168385,0.010840297241588193
2015-02-06,-0.013623765835248837,-0.010978231175289288,-0.008377863423165155
2015-02-09,-0.001945554366389546,0.00012231200034573675,-0.0035487643968429294
2015-02-10,0.005608523387239474,0.00016291488714362257,0.008479138246379803
2015-02-11,-0.0043813277128097235,-0.0036977529914832274,-0.002522322020826806
2015-02-12,0.010440983600362275,0.0038962661113741692,0.012474658551938633
2015-02-13,0.006152430169156453,0.0025587722646639444,0.0063269638256922
2015-02-17,-0.002677705568541854,-0.005201761067018834,0.0008273068523627636
2015-02-18,0.002155984762348684,0.00228449925883073,0.001983847870478339
2015-02-19,-0.0008197654478092174,-0.001260136423565067,-0.0001651703023796136
2015-02-20,0.004274101958255217,0.00031342599881153954,0.006765785219535747
2015-02-23,-0.002230207741633006,0.00024693019477878275,-0.0026225856002985992
2015-02-24,0.003994159766225735,0.002387304440891941,0.0046015928717262344
2015-02-25,0.0008234161018107809,0.00122572837267243,0.0004907499904469592
2015-02-26,-0.0011517562533429504,-0.0008499327132800993,-0.0016350568918267472
2015-02-27,-0.0021333638527479713,0.0003667473051654213,-0.002456562985369337
2015-03-02,0.003133076929268508,-0.001573876759329601,0.003940336607398898
2015-03-03,-0.004891380029834436,-0.0023912046995498704,-0.005233161724483071
2015-03-04,-0.00445435299529049,-0.0016692456182245685,-0.00460287019920147
2015-03-05,0.0007961792083050701,0.0003721307791217099,0.000990822784436407
2015-03-06,-0.014906694560264777,-0.01243174702671801,-0.013529178120440633
2015-03-09,0.0013025821961356377,0.0014377231324461115,0.0013380493820112083
2015-03-10,-0.016876627397348676,-0.0050012387034928385,-0.018206024084873595
2015-03-11,-0.00014199374100561926,-0.0008141452223834056,0.0005103699253350413
2015-03-12,0.01053210843368977,0.0033186680502004795,0.011732439297324593
2015-03-13,-0.005603140011873542,-0.0017412800206586532,-0.006386272330701326
2015-03-16,0.01074527794409045,0.0033259438159071175,0.012009343315060983
2015-03-17,-0.0014440813514565941,-0.0017119602038168924,-0.0010029059332877788
2015-03-18,0.016566051152746942,0.011756097082764094,0.016229058963584286
2015-03-19,-0.007776214721596697,-0.003659852247512696,-0.008561133016482203
2015-03-20,0.014590524105343916,0.007819011094234274,0.01494513288907684
2015-03-23,0.0015174658459175205,0.0019062335820405063,0.000981660589720157
2015-03-24,-0.002402894525804966,0.0005507228266033171,-0.0029420936317908764
2015-03-25,-0.009302988586248817,-0.0028374948675769507,-0.010491827107930951
2015-03-26,-0.0038194559490071006,-0.0005987459611621893,-0.00497018293031104
2015-03-27,0.0005354544230420811,-0.00011268032833000596,0.0009990653060265586
2015-03-30,0.004642405492040426,-0.0004782489558111669,0.008649342660266068
2015-03-31,-0.008337887553177926,-0.0020785197601441985,-0.010224565292262233
2015-04-01,0.005813163112089459,0.00598717492222578,0.002999352998185545
2015-04-02,0.004230347847729333,0.0005290982104875774,0.005979975681305483
2015-04-06,0.008653765399919999,0.005682727623528228,0.008256281397937215
2015-04-07,-0.0019711467514728076,-0.001793345202580482,-0.0016378908269525372
2015-04-08,0.005206798238184806,5.7420423379195284e-05,0.006397776840582736
